Top,p.value,FDR,summary.logFC,logFC.hspc,ensembl_gene_id
107,4.0764693549489025e-7,1.0667396442856931e-6,-0.27020089611898823,-0.27020089611898823,ENSMUSG00000027750
108,8.550477978761109e-7,2.216790587086212e-6,0.8474499533209858,0.8474499533209858,ENSMUSG00000053063
109,1.292699190923227e-6,3.3206951693440686e-6,-0.2916785795731769,-0.2916785795731769,ENSMUSG00000035914
110,1.6269488471931886e-6,4.141324338309936e-6,0.39403209715692966,0.39403209715692966,ENSMUSG00000018166
111,2.265391478747254e-6,5.714501027470555e-6,-0.3353406020517477,-0.3353406020517477,ENSMUSG00000037440
112,2.513198634497699e-6,6.282996586244254e-6,0.7179796455167695,0.7179796455167695,ENSMUSG00000021733
113,5.001191949175737e-6,1.2392334033355801e-5,-0.1653559529965632,-0.1653559529965632,ENSMUSG00000028766
114,5.813629298514231e-6,1.4279089505122677e-5,-0.4819617708652659,-0.4819617708652659,ENSMUSG00000052155
115,6.734469504127207e-6,1.6396969227440165e-5,0.5970584002892769,0.5970584002892769,ENSMUSG00000025008
116,6.874826122463762e-6,1.6594407881809092e-5,-0.21380595420249407,-0.21380595420249407,ENSMUSG00000028019
117,8.134572614919374e-6,1.9467353266473706e-5,-0.4197592846835009,-0.4197592846835009,ENSMUSG00000003882
118,9.57606576967221e-6,2.2722867928035757e-5,-0.36771636443171096,-0.36771636443171096,ENSMUSG00000026836
119,1.1173535045938129e-5,2.6290670696325017e-5,-0.3997490568282412,-0.3997490568282412,ENSMUSG00000029386
120,1.1532210608076452e-5,2.6908491418845074e-5,-0.2088055748490551,-0.2088055748490551,ENSMUSG00000038552
121,1.4165529568109783e-5,3.277973784355981e-5,0.5614039421155015,0.5614039421155015,ENSMUSG00000005087
122,1.4793336834491731e-5,3.395192060375152e-5,-0.6238011738115516,-0.6238011738115516,ENSMUSG00000037902
123,1.5143008065324866e-5,3.447188827878828e-5,-0.17880965830909878,-0.17880965830909878,ENSMUSG00000040605
124,1.614963762721179e-5,3.646692367434921e-5,0.4341038570406095,0.4341038570406095,ENSMUSG00000037370
125,2.2355655449443177e-5,5.0076668206752726e-5,-0.22606292612828444,-0.22606292612828444,ENSMUSG00000018500
126,2.2559041787434294e-5,5.013120397207624e-5,0.7083506738496754,0.7083506738496754,ENSMUSG00000024614
127,2.30082719426342e-5,5.072689877116201e-5,0.6897638300391122,0.6897638300391122,ENSMUSG00000031835
128,2.3542989854187985e-5,5.150029030603626e-5,0.5096151898867488,0.5096151898867488,ENSMUSG00000079037
129,3.825110693257827e-5,8.302565845830948e-5,0.472643019476871,0.472643019476871,ENSMUSG00000040907
130,4.7394111455440824e-5,1.0207962467325724e-4,-0.5766900852153551,-0.5766900852153551,ENSMUSG00000004709
131,5.308346848705979e-5,1.1346084867463162e-4,-0.45861638859884135,-0.45861638859884135,ENSMUSG00000029090
132,5.520664028088379e-5,1.1623986710619001e-4,0.6394442788665797,0.6394442788665797,ENSMUSG00000029767
133,5.521393687544027e-5,1.1623986710619001e-4,-0.34882365452894687,-0.34882365452894687,ENSMUSG00000023972
134,6.122564151900179e-5,1.2793417630836183e-4,-0.6426115156054615,-0.6426115156054615,ENSMUSG00000038213
135,8.993990762683124e-5,1.8654203063342783e-4,-0.17011618575715737,-0.17011618575715737,ENSMUSG00000022883
136,9.996690717782807e-5,2.058142206602343e-4,-0.17123595665359115,-0.17123595665359115,ENSMUSG00000022015
137,1.0319313316905082e-4,2.0956159400328036e-4,0.629025471584165,0.629025471584165,ENSMUSG00000031703
138,1.032839284730453e-4,2.0956159400328036e-4,0.6296114962868296,0.6296114962868296,ENSMUSG00000030830
139,1.0794541869031167e-4,2.1744400887257025e-4,-0.4490023446970195,-0.4490023446970195,ENSMUSG00000027087
140,1.1924312400055566e-4,2.3848624800111134e-4,-0.24099499135239327,-0.24099499135239327,ENSMUSG00000029070
141,1.4292299788505583e-4,2.8381871920436606e-4,-0.6309540073736084,-0.6309540073736084,ENSMUSG00000038147
142,2.0768677618530028e-4,4.0952322064707116e-4,-0.6037724151781938,-0.6037724151781938,ENSMUSG00000035000
143,3.9997852919932986e-4,7.831747424881984e-4,0.5485269067452236,0.5485269067452236,ENSMUSG00000030754
144,4.485578351310527e-4,8.721957905326029e-4,-0.2899197915027064,-0.2899197915027064,ENSMUSG00000002602
145,4.954552332125979e-4,9.567411399967406e-4,-0.14171342770114703,-0.14171342770114703,ENSMUSG00000001507
146,5.039333968582355e-4,9.664476104130541e-4,-0.32752874352095274,-0.32752874352095274,ENSMUSG00000004317
147,5.557275623037178e-4,0.0010585286901023195,-0.23045680343629685,-0.23045680343629685,ENSMUSG00000038668
148,6.180922574800712e-4,0.0011693637303677024,0.4100772188443689,0.4100772188443689,ENSMUSG00000024621
149,6.506729641578107e-4,0.0012227411406992412,-0.3221693766803446,-0.3221693766803446,ENSMUSG00000024887
150,8.31139693365326e-4,0.0015514607609486083,-0.1817773548835407,-0.1817773548835407,ENSMUSG00000029093
151,9.161707032869476e-4,0.001698859582253942,-0.18076541582506941,-0.18076541582506941,ENSMUSG00000045394
152,0.0010065221126862188,0.0018541196812640866,-0.13564081607216844,-0.13564081607216844,ENSMUSG00000022687
153,0.0010280853465642558,0.0018814633793332784,-0.19022957246899294,-0.19022957246899294,ENSMUSG00000053062
154,0.0014839484513426407,0.0026980880933502563,-0.14305778303150268,-0.14305778303150268,ENSMUSG00000032340
155,0.00151999777011373,0.002745802423431253,-0.19028411833811934,-0.19028411833811934,ENSMUSG00000003379
156,0.0015507937927013054,0.0027834760381818314,-0.1909680656002593,-0.1909680656002593,ENSMUSG00000039646
157,0.0018618965932510687,0.0033205799115305686,-0.12933483480941332,-0.12933483480941332,ENSMUSG00000039497
158,0.0019167870240751057,0.0033968377641837304,-0.2494276508757157,-0.2494276508757157,ENSMUSG00000028476
159,0.002266663869976109,0.003991609330775536,-0.13819547915705532,-0.13819547915705532,ENSMUSG00000025089
160,0.0024962929524598434,0.004368512666804726,-0.399981450505659,-0.399981450505659,ENSMUSG00000032193
161,0.003319434706488297,0.005772929924327471,-0.1270435348018633,-0.1270435348018633,ENSMUSG00000020695
162,0.003348139205900506,0.005786907269457665,-0.32007797383496583,-0.32007797383496583,ENSMUSG00000049488
163,0.004120051785646233,0.007077389570435244,-0.40682233289453834,-0.40682233289453834,ENSMUSG00000024413
164,0.004668632804949824,0.007970836496255799,0.3616996346841817,0.3616996346841817,ENSMUSG00000024620
165,0.0049410521793313055,0.008384815819471307,-0.18659035583479533,-0.18659035583479533,ENSMUSG00000023274
166,0.004982243339087667,0.008403783945449076,-0.15120729884874418,-0.15120729884874418,ENSMUSG00000020399
167,0.0055822225905628265,0.009359415121901747,-0.08171991011822011,-0.08171991011822011,ENSMUSG00000033777
168,0.005776845814534268,0.009628076357557112,-0.2854414812775701,-0.2854414812775701,ENSMUSG00000027995
